topic_slug,question_text,option1,option2,option3,option4,correct_answer
aws,Which service provides managed GraphQL?,AppSync,API Gateway,AppMesh,App Runner,0
aws,What is AWS Systems Manager used for?,Application and Infrastructure Management,System Monitoring,Storage Management,Security Management,0
aws,Which service provides managed PostgreSQL?,Aurora PostgreSQL,DynamoDB,MongoDB,Cassandra,0
aws,What is Amazon Kinesis used for?,Real-time Data Streaming,Database Management,File Storage,Message Queue,0
aws,Which service provides managed MySQL?,Aurora MySQL,DynamoDB,MongoDB,Cassandra,0
aws,What is AWS Transit Gateway?,Network Transit Hub,Data Transfer Service,Traffic Management,Transport Layer Security,0
aws,Which service provides serverless containers?,Fargate,ECS,EKS,EC2,0
aws,What is AWS Secrets Manager used for?,Secure Secrets Storage,Password Generation,Key Management,Certificate Management,0
aws,Which service provides managed Jenkins?,CodeBuild,CodePipeline,CodeDeploy,CodeStar,2
aws,What is AWS Step Functions used for?,Workflow Orchestration,Function Management,Step Tracking,Process Control,0
aws,Which service provides managed etcd?,EKS,DynamoDB,ElastiCache,Systems Manager,0
aws,What is AWS Cloud9 used for?,Cloud IDE,Monitoring Tool,Deployment Service,Testing Platform,0
aws,Which service provides managed Active Directory?,AWS Directory Service,IAM,Organizations,Control Tower,0
aws,What is AWS Lake Formation used for?,Data Lake Setup,Database Creation,Storage Management,Network Formation,0
aws,Which service provides managed PostgreSQL?,RDS,DynamoDB,MongoDB,Cassandra,0
aws,What is AWS X-Ray used for?,Application Tracing,X-ray Storage,Security Scanning,Performance Testing,0
aws,Which service provides managed Redis clusters?,ElastiCache,DynamoDB,RDS,Neptune,0
aws,What is AWS Backup used for?,Centralized Backup Management,File Backup,Database Backup,Server Backup,0
aws,Which service provides managed time series database?,Timestream,DynamoDB,RDS,Neptune,0
aws,What is AWS Service Quotas used for?,Manage Service Limits,Quote Generation,Service Pricing,Resource Allocation,0
aws,What is AWS EBS?,Elastic Block Store,Elastic Backup Service,Elastic Boot System,Enterprise Backup Storage,0
aws,Which service is used for machine learning?,SageMaker,DeepLens,Rekognition,Comprehend,0
aws,What is the maximum execution time for Lambda?,15 minutes,5 minutes,10 minutes,30 minutes,0
aws,Which service provides managed Kafka streams?,Kinesis,SNS,SQS,MSK,3
aws,What is AWS CloudTrail used for?,API Activity Logging,Performance Monitoring,Error Tracking,Resource Management,0
aws,Which service provides managed blockchain?,Amazon Managed Blockchain,Ethereum Service,Blockchain Service,Chain Manager,0
aws,What is AWS AppSync used for?,GraphQL API Service,App Deployment,Mobile Backend,Web Hosting,0
aws,Which service is serverless data warehouse?,Redshift Serverless,Athena,EMR,Glue,0
aws,What is AWS Control Tower used for?,Multi-account Governance,Resource Control,Access Management,Security Monitoring,0
aws,Which service provides IoT device management?,AWS IoT Core,IoT Analytics,IoT Events,IoT Greengrass,0
aws,What is AWS AppFlow?,SaaS Integration Service,Application Deployment,Traffic Management,Data Flow Control,0
aws,Which service manages API keys?,API Gateway,Secrets Manager,KMS,Systems Manager,0
aws,What is AWS DataSync used for?,Data Transfer Service,Database Sync,File Synchronization,Storage Management,0
aws,Which service provides quantum computing?,Amazon Braket,Quantum Service,Q-Computer,Quantum Cloud,0
aws,What is AWS Proton used for?,Container and Serverless Management,Electron Management,Atomic Service,Microservice Control,0
aws,Which service manages IoT device security?,IoT Device Defender,IoT Security,Device Guard,Security Hub,0
aws,What is AWS Outposts?,On-premises AWS Infrastructure,Network Connection,Data Center Service,Cloud Extension,0
aws,Which service provides satellite ground stations?,Ground Station,Satellite Service,Space Connect,Orbital Service,0
aws,What is AWS Snowball?,Data Migration Device,Storage Service,Backup Solution,Archive System,0
aws,Which service provides voice transcription?,Amazon Transcribe,Voice Service,Speech-to-Text,Audio Convert,0
aws,What is AWS App Runner?,Container Application Service,Mobile App Builder,Web App Creator,Code Runner,0
aws,Which service provides workflow automation?,AWS Step Functions,Flow Control,Process Automation,Task Manager,0
aws,What is AWS Batch used for?,Batch Computing Jobs,Data Processing,Queue Management,Task Scheduling,0
aws,Which service provides media transcoding?,MediaConvert,Media Service,Transcode Service,Video Convert,0
aws,What is AWS RAM?,Resource Access Manager,Random Access Memory,Resource Allocation,Access Management,0
aws,Which service provides event routing?,EventBridge,Event Service,Message Router,Event Hub,0
aws,What is AWS Amplify used for?,Mobile and Web App Development,Signal Amplification,Network Boost,Performance Enhancement,0
aws,Which service manages firewall rules?,Network Firewall,Security Groups,WAF,Shield,0
aws,What is AWS FSx?,Managed File Systems,File Storage,Storage Service,File Exchange,0
aws,Which service provides managed Cassandra?,Amazon Keyspaces,DynamoDB,DocumentDB,Neptune,0
aws,What is AWS Kendra used for?,Enterprise Search Service,Document Search,File Finder,Content Search,0
aws,Which service provides video streaming?,Amazon IVS,Video Service,Stream Service,Media Stream,0
aws,What is AWS Lake Formation?,Data Lake Service,Lake Creator,Storage Formation,Data Pool,0
aws,Which service provides contact center?,Amazon Connect,Contact Service,Call Center,Support Hub,0
aws,What is AWS Macie used for?,Data Security and Privacy,Access Control,Identity Management,Resource Protection,0
aws,Which service provides edge computing?,AWS Wavelength,Edge Service,Computing Edge,Network Edge,0
aws,What is AWS MSK?,Managed Streaming for Kafka,Message Service,Stream Control,Queue Manager,0
aws,Which service provides network firewall?,AWS Network Firewall,Security Groups,WAF,Shield,0
aws,What is AWS Polly used for?,Text-to-Speech Service,Voice Generator,Speech Service,Audio Creator,0
aws,Which service provides quantum ledger?,QLDB,Ledger Service,Quantum DB,Blockchain Service,0
aws,What is AWS RoboMaker used for?,Robotics Development,Robot Control,Machine Learning,Automation Service,0
aws,Which service provides AR/VR building?,Amazon Sumerian,Reality Service,3D Builder,Virtual World,0
aws,What is AWS Service Catalog?,IT Service Management,Product Catalog,Service List,Resource Catalog,0
aws,Which service provides video analysis?,Amazon Rekognition Video,Video Analyzer,Media Analysis,Video Intelligence,0
aws,What is AWS Shield used for?,DDoS Protection,Security Service,Firewall Management,Access Control,0
aws,Which service provides voice ID?,Amazon Voice ID,Identity Service,Voice Auth,Speech ID,0
aws,What is AWS Snow Family?,Data Migration Devices,Storage Family,Transfer Service,Migration Tool,0
aws,Which service provides workflow studio?,Step Functions Studio,Workflow Builder,Process Designer,Flow Creator,0
aws,What is AWS WorkSpaces?,Virtual Desktop Service,Workspace Manager,Desktop Cloud,Virtual Office,0
aws,Which service provides IoT analytics?,IoT Analytics,Data Analysis,IoT Insights,Device Analytics,0
